,Index By Date,Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder Capacity Of Engine (c.c.),Body Type,First Registration Vehicle Status (Note),Permitted Gross Vehicle Weight ,Number Of Passenger Seats ,Taxable Value (HK$),Year Of Manufacture,Date Of Registration
1032,21_01_1032,Private Car,MASERATI,GHIBLI GRANSPORT,Petrol,2979,SALOON,A,-,4,"> 500,000",2019,2021-01
1033,21_01_1033,Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2021-01
1034,21_01_1034,Private Car,AUDI,Q5 45 TFSI QUATTRO,Petrol,1984,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-01
1035,21_01_1035,Private Car,TOYOTA,COROLLA FIELDER,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2013,2021-01
1036,21_01_1036,Private Car,LEXUS,LM350,Petrol,3456,STATION WAGGON,A,-,3,"> 500,000",2020,2021-01
1037,21_01_1037,Private Car,MITSUBISHI,LANCER GSR PREMIUM EVOLUTION X,Petrol,1998,SALOON,C2,-,4,"<= 150,000",2011,2021-01
1038,21_01_1038,Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-01
1039,21_01_1039,Private Car,TESLA,MODEL 3 PERFORMANCE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2021-01
1040,21_01_1040,Private Car,B.M.W.,530IA SALOON LUXURY (G30),Petrol,1998,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2021-01
1041,21_01_1041,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2021-01
1042,21_01_1042,Private Car,SUBARU,XV 2.0I AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"<= 150,000",2021,2021-01
1043,21_01_1043,Private Car,MINI,JOHN COOPER WORKS,Petrol,1998,SALOON,C2,-,3,"> 150,000 and <= 300,000",2020,2021-01
1044,21_01_1044,Private Car,TOYOTA,ALPHARD,Petrol,2362,STATION WAGGON,C2,-,6,"<= 150,000",2011,2021-01
1045,21_01_1045,Private Car,TOYOTA,CHASER,Petrol,2491,SALOON,C2,-,4,"<= 150,000",2000,2021-01
1046,21_01_1046,Private Car,TOYOTA,PRIUS GS HYBRID,Petrol,1797,SALOON,C2,-,4,"<= 150,000",2012,2021-01
1047,21_01_1047,Private Car,HONDA,FIT HYBRID L PACKAGE,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2014,2021-01
1048,21_01_1048,Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2021-01
1049,21_01_1049,Private Car,TOYOTA,VOXY,Petrol,1986,STATION WAGGON,C2,-,7,"<= 150,000",2014,2021-01
1050,21_01_1050,Private Car,HONDA,FREED,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2021-01
