,Index By Date,Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder Capacity Of Engine (c.c.),Body Type,First Registration Vehicle Status (Note),Permitted Gross Vehicle Weight ,Number Of Passenger Seats ,Taxable Value (HK$),Year Of Manufacture,Date Of Registration
1036,21_02_1036,Private Car,TOYOTA,VOXY,Petrol,1986,STATION WAGGON,C2,-,7,"<= 150,000",2013,2021-02
1037,21_02_1037,Private Car,B.M.W.,320IA SALOON M SPORT EDITION (G20),Petrol,1998,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2021-02
1038,21_02_1038,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1039,21_02_1039,Private Car,ROVER,MINI,Petrol,1270,SALOON,C2,-,3,"<= 150,000",2000,2021-02
1040,21_02_1040,Private Car,AUDI,Q3 45 TFSI QUATTRO S LINE,Petrol,1984,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1041,21_02_1041,Private Car,FERRARI,F8 SPIDER,Petrol,3902,CONVERTIBLE,A,-,1,"> 500,000",2021,2021-02
1042,21_02_1042,Private Car,TOYOTA,VOXY ZS,Petrol,1986,STATION WAGGON,C2,-,6,"<= 150,000",2015,2021-02
1043,21_02_1043,Private Car,MERCEDES BENZ,GLB250 4MATIC (X247),Petrol,1991,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020,2021-02
1044,21_02_1044,Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2021,2021-02
1045,21_02_1045,Private Car,VOLKSWAGEN,NEW E-GOLF,Electric,-,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1046,21_02_1046,Private Car,B.M.W.,740LIA SALOON (G12),Petrol,2998,SALOON,A,-,4,"> 500,000",2020,2021-02
1047,21_02_1047,Private Car,NISSAN,STAGEA 25X,Petrol,2498,STATION WAGGON,C2,-,4,"<= 150,000",1999,2021-02
1048,21_02_1048,Private Car,HONDA,STEPWGN SPADA,Petrol,1496,STATION WAGGON,C2,-,7,"<= 150,000",2015,2021-02
1049,21_02_1049,Private Car,SUBARU,BRZ 2.0 RWD 6MT,Petrol,1998,SALOON,A,-,3,"> 150,000 and <= 300,000",2021,2021-02
1050,21_02_1050,Private Car,MINI,MINI COOPER COUNTRYMAN AUTOMATIC (F60),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1051,21_02_1051,Private Car,PORSCHE,TAYCAN 4S,Electric,-,SALOON,A,-,3,"> 500,000",2020,2021-02
1052,21_02_1052,Private Car,HONDA,N-BOX CUSTOM G TURBO PACKAGE,Petrol,658,STATION WAGGON,C2,-,3,"<= 150,000",2012,2021-02
1053,21_02_1053,Private Car,MERCEDES BENZ,C200 FL(W205),Petrol,1497,SALOON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1054,21_02_1054,Private Car,BMW I,I3 120AH (I01),Electric,-,SALOON,A,-,3,"> 300,000 and <= 500,000",2019,2021-02
1055,21_02_1055,Private Car,LEXUS,ES250,Petrol,2487,SALOON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1056,21_02_1056,Private Car,MASERATI,LEVANTE GRANSPORT,Petrol,2979,STATION WAGGON,A,-,4,"> 500,000",2019,2021-02
1057,21_02_1057,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1058,21_02_1058,Private Car,B.M.W.,520IA SALOON LUXURY (G30),Petrol,1998,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2021-02
1059,21_02_1059,Private Car,MINI,MINI COOPER S COUNTRYMAN AUTOMATIC (F60),Petrol,1998,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1060,21_02_1060,Private Car,TOYOTA,VELLFIRE,Petrol,2494,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2021,2021-02
1061,21_02_1061,Private Car,B.M.W.,M2 COMPETITION COUPE (F87),Petrol,2979,SALOON,A,-,3,"> 500,000",2020,2021-02
1062,21_02_1062,Private Car,TOYOTA,SIENTA,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2015,2021-02
1063,21_02_1063,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1064,21_02_1064,Private Car,HONDA,FREED,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2021,2021-02
1065,21_02_1065,Private Car,LEXUS,LM350,Petrol,3456,STATION WAGGON,A,-,6,"> 500,000",2021,2021-02
1066,21_02_1066,Private Car,TOYOTA,VELLFIRE,Petrol,2494,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2021,2021-02
1067,21_02_1067,Private Car,TOYOTA,VELLFIRE,Petrol,2494,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020,2021-02
1068,21_02_1068,Private Car,TOYOTA,AQUA S,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2012,2021-02
1069,21_02_1069,Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2021,2021-02
1070,21_02_1070,Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1071,21_02_1071,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1072,21_02_1072,Private Car,B.M.W.,218IA GRAN TOURER (F46),Petrol,1499,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2021-02
1073,21_02_1073,Private Car,B.M.W.,X1 SDRIVE18IA XLINE (F48),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1074,21_02_1074,Private Car,LEXUS,CT200H HYBRID,Petrol,1797,STATION WAGGON,C2,-,4,"<= 150,000",2011,2021-02
1075,21_02_1075,Private Car,HONDA,ODYSSEY ABSOLUTE,Petrol,2356,STATION WAGGON,C2,-,6,"<= 150,000",2014,2021-02
1076,21_02_1076,Private Car,CHRYSLER,JEEP WRANGLER UNLIMITED SPORTS,Petrol,3604,CONVERTIBLE,C2,-,4,"> 150,000 and <= 300,000",2018,2021-02
1077,21_02_1077,Private Car,B.M.W.,X1 SDRIVE18IA XLINE (F48),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1078,21_02_1078,Private Car,TOYOTA,ALPHARD 2.5SC,Petrol,2493,STATION WAGGON,C1,-,6,"> 300,000 and <= 500,000",2019,2021-02
1079,21_02_1079,Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2021-02
1080,21_02_1080,Private Car,NISSAN,JUKE TURBO,Petrol,999,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1081,21_02_1081,Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2021,2021-02
1082,21_02_1082,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1083,21_02_1083,Private Car,TOYOTA,NOAH,Petrol,1797,STATION WAGGON,C2,-,6,"<= 150,000",2014,2021-02
1084,21_02_1084,Private Car,NISSAN,SILVIA S15,Petrol,1998,SALOON,C2,-,3,"<= 150,000",1999,2021-02
1085,21_02_1085,Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,C2,-,6,"> 150,000 and <= 300,000",2020,2021-02
1086,21_02_1086,Private Car,SUBARU,FORESTER 2.0I-S EYESIGHT HYBRID AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2021,2021-02
1087,21_02_1087,Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1088,21_02_1088,Private Car,TOYOTA,COROLLA FIELDER,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2015,2021-02
1089,21_02_1089,Private Car,HONDA,FREED G JUST SELECTION,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2010,2021-02
1090,21_02_1090,Private Car,MERCEDES BENZ,GLC300 4MATIC COUPE FACELIFT (C253),Petrol,1991,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,2021-02
1091,21_02_1091,Private Car,B.M.W.,X1 SDRIVE20IA M SPORT EDITION (F48),Petrol,1998,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1092,21_02_1092,Private Car,TOYOTA,COROLLA,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2014,2021-02
1093,21_02_1093,Private Car,SUZUKI,JIMNY 1.5 4WD 4AT,Petrol,1462,STATION WAGGON,A,-,3,"> 150,000 and <= 300,000",2021,2021-02
1094,21_02_1094,Private Car,TOYOTA,ALPHARD,Petrol,2493,STATION WAGGON,C1,-,6,"> 300,000 and <= 500,000",2020,2021-02
1095,21_02_1095,Private Car,HONDA,FREED G HIGHWAY EDITION,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2010,2021-02
1096,21_02_1096,Private Car,SUZUKI,HUSTLER 2WD CVT,Petrol,658,STATION WAGGON,A,-,3,"<= 150,000",2021,2021-02
1097,21_02_1097,Private Car,HONDA,FREED,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2021,2021-02
1098,21_02_1098,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1099,21_02_1099,Private Car,SUZUKI,JIMNY 1.5 4WD 4AT,Petrol,1462,STATION WAGGON,A,-,3,"> 150,000 and <= 300,000",2021,2021-02
1100,21_02_1100,Private Car,HONDA,STEPWGN SPADA COOL SPIRIT,Petrol,1496,STATION WAGGON,C2,-,7,"<= 150,000",2015,2021-02
1101,21_02_1101,Private Car,TOYOTA,ALPHARD 2.5,Petrol,2494,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020,2021-02
1102,21_02_1102,Private Car,TOYOTA,PRIUS,Petrol,1797,SALOON,C2,-,4,"<= 150,000",2013,2021-02
1103,21_02_1103,Private Car,SUBARU,XV 2.0I AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"<= 150,000",2021,2021-02
1104,21_02_1104,Private Car,MERCEDES BENZ,MERCEDES-AMG GLC43 4MATIC FL (X253),Petrol,2996,STATION WAGGON,A,-,4,"> 500,000",2020,2021-02
1105,21_02_1105,Private Car,MERCEDES BENZ,C200 FL(W205),Petrol,1497,SALOON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1106,21_02_1106,Private Car,DFSK,580,Petrol,1499,STATION WAGGON,A,-,6,"<= 150,000",2021,2021-02
1107,21_02_1107,Private Car,TOYOTA,PORTE,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2013,2021-02
1108,21_02_1108,Private Car,TOYOTA,SIENTA,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2021-02
1109,21_02_1109,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1110,21_02_1110,Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2021-02
1111,21_02_1111,Private Car,HONDA,STEPWGN,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2021,2021-02
1112,21_02_1112,Private Car,HONDA,FREED G HONDA SENSING,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2017,2021-02
1113,21_02_1113,Private Car,MINI,MINI COOPER COUNTRYMAN AUTOMATIC (F60),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1114,21_02_1114,Private Car,TOYOTA,RAIZE,Petrol,996,SALOON,C1,-,4,"> 150,000 and <= 300,000",2020,2021-02
1115,21_02_1115,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1116,21_02_1116,Private Car,LEXUS,RX300,Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,2021-02
1117,21_02_1117,Private Car,MERCEDES BENZ,C63 AMG,Petrol,6208,STATION WAGGON,C2,-,4,"> 300,000 and <= 500,000",2014,2021-02
1118,21_02_1118,Private Car,SUZUKI,JIMNY SIERRA,Petrol,1298,STATION WAGGON,C2,-,1,"<= 150,000",1996,2021-02
1119,21_02_1119,Private Car,B.M.W.,218IA GRAN TOURER (F46),Petrol,1499,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2021-02
1120,21_02_1120,Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,7,"> 150,000 and <= 300,000",2020,2021-02
1121,21_02_1121,Private Car,SUBARU,XV 2.0I AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"<= 150,000",2021,2021-02
1122,21_02_1122,Private Car,SUZUKI,SWIFT SPORTS,Petrol,1586,SALOON,C2,-,4,"<= 150,000",2013,2021-02
1123,21_02_1123,Private Car,AUDI,RS6 AVANT QUATTRO,Petrol,3996,STATION WAGGON,A,-,4,"> 500,000",2020,2021-02
1124,21_02_1124,Private Car,TOYOTA,PORTE,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2015,2021-02
1125,21_02_1125,Private Car,SUBARU,XV 2.0I AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"<= 150,000",2021,2021-02
1126,21_02_1126,Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2021,2021-02
1127,21_02_1127,Private Car,TOYOTA,PRIUS,Petrol,1797,SALOON,D,-,4,"<= 150,000",2013,2021-02
1128,21_02_1128,Private Car,HONDA,FIT HYBRID S PACKAGE,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2014,2021-02
1129,21_02_1129,Private Car,HONDA,STEPWGN,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2021-02
1130,21_02_1130,Private Car,MERCEDES BENZ,E200 EXCLUSIVE FACELIFT (W213),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2021-02
1131,21_02_1131,Private Car,TESLA,MODEL X LONG RANGE PLUS,Electric,-,Station Waggon(Hvy),A,-,4,"> 500,000",2020,2021-02
1132,21_02_1132,Private Car,NISSAN,LEAF,Electric,-,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,2021-02
1133,21_02_1133,Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2021,2021-02
1134,21_02_1134,Private Car,HONDA,N BOX CUSTOM G TURBO L PACKAGE,Petrol,658,STATION WAGGON,C2,-,3,"<= 150,000",2015,2021-02
1135,21_02_1135,Private Car,HYUNDAI,KONA ELECTRIC,Electric,-,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1136,21_02_1136,Private Car,TOYOTA,SIENTA HYBRID,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2016,2021-02
1137,21_02_1137,Private Car,HONDA,FIT HYBRID S PACKAGE,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2016,2021-02
1138,21_02_1138,Private Car,B.M.W.,218IA GRAN TOURER (F46),Petrol,1499,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2021-02
1139,21_02_1139,Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1140,21_02_1140,Private Car,TOYOTA,ALPHARD,Petrol,3456,STATION WAGGON,C1,-,6,"> 300,000 and <= 500,000",2020,2021-02
1141,21_02_1141,Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2021,2021-02
1142,21_02_1142,Private Car,PORSCHE,CAYENNE,Petrol,2995,STATION WAGGON,A,-,4,"> 500,000",2020,2021-02
1143,21_02_1143,Private Car,HONDA,FIT HYBRID L PACKAGE,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2016,2021-02
1144,21_02_1144,Private Car,MASERATI,GHIBLI S GRANSPORT,Petrol,2979,SALOON,A,-,4,"> 500,000",2019,2021-02
1145,21_02_1145,Private Car,B.M.W.,X3 XDRIVE30IA XLINE (G01),Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,2021-02
1146,21_02_1146,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1147,21_02_1147,Private Car,B.M.W.,118IA M SPORT EDITION (F40),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1148,21_02_1148,Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 150,000 and <= 300,000",2021,2021-02
1149,21_02_1149,Private Car,LEXUS,IS300H,Petrol,2493,SALOON,C2,-,4,"<= 150,000",2014,2021-02
1150,21_02_1150,Private Car,VOLVO,XC90 B6 INSCRIPTION,Petrol,1969,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020,2021-02
1151,21_02_1151,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1152,21_02_1152,Private Car,HONDA,FIT RS,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2014,2021-02
1153,21_02_1153,Private Car,MINI,MINI COOPER S COUNTRYMAN AUTOMATIC (F60),Petrol,1998,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1154,21_02_1154,Private Car,TOYOTA,SPADE,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2015,2021-02
1155,21_02_1155,Private Car,TOYOTA,NOAH,Petrol,1986,STATION WAGGON,C2,-,7,"<= 150,000",2017,2021-02
1156,21_02_1156,Private Car,TOYOTA,AQUA,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2015,2021-02
1157,21_02_1157,Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2021,2021-02
1158,21_02_1158,Private Car,SUBARU,XV 2.0I-S EYESIGHT AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2021,2021-02
1159,21_02_1159,Private Car,TOYOTA,AQUA,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2014,2021-02
1160,21_02_1160,Private Car,TOYOTA,SIENTA,Petrol,1496,STATION WAGGON,C2,-,5,"<= 150,000",2015,2021-02
1161,21_02_1161,Private Car,SUBARU,FORESTER 2.0I-S EYESIGHT HYBRID AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2021,2021-02
1162,21_02_1162,Private Car,SUZUKI,SOLIO S,Petrol,1242,SALOON,C2,-,4,"<= 150,000",2011,2021-02
1163,21_02_1163,Private Car,SUZUKI,SWIFT SPORT SAFETY PACKAGE,Petrol,1371,SALOON,C2,-,4,"<= 150,000",2017,2021-02
1164,21_02_1164,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1165,21_02_1165,Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2021,2021-02
1166,21_02_1166,Private Car,VOLKSWAGEN,NEW E-GOLF,Electric,-,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1167,21_02_1167,Private Car,SUZUKI,HUSTLER 2WD CVT,Petrol,658,STATION WAGGON,A,-,3,"<= 150,000",2021,2021-02
1168,21_02_1168,Private Car,LEXUS,RX300,Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,2021-02
1169,21_02_1169,Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 150,000 and <= 300,000",2021,2021-02
1170,21_02_1170,Private Car,KIA,SORENTO GT,Petrol,2497,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2021,2021-02
1171,21_02_1171,Private Car,AUDI,Q3 35 TFSI,Petrol,1498,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1172,21_02_1172,Private Car,AUDI,Q3 35 TFSI,Petrol,1498,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1173,21_02_1173,Private Car,B.M.W.,X1 SDRIVE18IA XLINE (F48),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1174,21_02_1174,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1175,21_02_1175,Private Car,B.M.W.,218IA GRAN TOURER (F46),Petrol,1499,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2021-02
1176,21_02_1176,Private Car,KIA,NIRO EV+ DELUXE,Electric,-,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,2021-02
1177,21_02_1177,Private Car,SUZUKI,JIMNY 1.5 4WD 4AT,Petrol,1462,STATION WAGGON,A,-,3,"> 150,000 and <= 300,000",2021,2021-02
1178,21_02_1178,Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2021,2021-02
1179,21_02_1179,Private Car,SUZUKI,JIMNY 1.5 4WD 4AT,Petrol,1462,STATION WAGGON,A,-,3,"> 150,000 and <= 300,000",2021,2021-02
1180,21_02_1180,Private Car,SUZUKI,SWIFT SPORT,Petrol,1586,SALOON,C2,-,4,"<= 150,000",2013,2021-02
1181,21_02_1181,Private Car,MAZDA,CX-8 2.5 I-PLUS,Petrol,2488,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2021-02
1182,21_02_1182,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1183,21_02_1183,Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2021-02
1184,21_02_1184,Private Car,SUBARU,FORESTER 2.0I-S EYESIGHT HYBRID AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2021,2021-02
1185,21_02_1185,Private Car,KIA,SORENTO GT,Petrol,2497,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2021,2021-02
1186,21_02_1186,Private Car,TESLA,MODEL 3 PERFORMANCE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2021-02
1187,21_02_1187,Private Car,MERCEDES BENZ,E200 AVANTGARDE (W213),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2019,2021-02
1188,21_02_1188,Private Car,HONDA,FIT RS,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2011,2021-02
1189,21_02_1189,Private Car,TOYOTA,TOYOTA SUPRA,Petrol,2998,SALOON,A,-,1,"> 300,000 and <= 500,000",2019,2021-02
1190,21_02_1190,Private Car,SUBARU,FORESTER 2.0I-S EYESIGHT HYBRID AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2021,2021-02
1191,21_02_1191,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1192,21_02_1192,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1193,21_02_1193,Private Car,HONDA,FIT HYBRID S PACKAGE,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2014,2021-02
1194,21_02_1194,Private Car,NISSAN,JUKE TURBO,Petrol,999,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1195,21_02_1195,Private Car,HONDA,ODYSSEY ABSOLUTE,Petrol,2356,STATION WAGGON,C2,-,6,"<= 150,000",2014,2021-02
1196,21_02_1196,Private Car,AUDI,RS Q8 QUATTRO,Petrol,3996,STATION WAGGON,A,-,4,"> 500,000",2020,2021-02
1197,21_02_1197,Private Car,SUBARU,XV 2.0I AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"<= 150,000",2021,2021-02
1198,21_02_1198,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2021,2021-02
1199,21_02_1199,Private Car,HONDA,N-ONE PREMIUM TOURER,Petrol,658,SALOON,C2,-,3,"<= 150,000",2014,2021-02
1200,21_02_1200,Private Car,HONDA,FIT RS,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2012,2021-02
1201,21_02_1201,Private Car,TOYOTA,PRIUS,Petrol,1797,SALOON,C2,-,4,"<= 150,000",2014,2021-02
1202,21_02_1202,Private Car,MERCEDES BENZ,GLS400 (X166),Petrol,2996,STATION WAGGON,A,-,6,"> 500,000",2019,2021-02
1203,21_02_1203,Private Car,TOYOTA,SPADE,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2015,2021-02
1204,21_02_1204,Private Car,MERCEDES BENZ,A200 (W177),Petrol,1332,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1205,21_02_1205,Private Car,TOYOTA,CENTURY,Petrol,4996,SALOON,C2,-,4,"<= 150,000",1997,2021-02
1206,21_02_1206,Private Car,MERCEDES BENZ,E200 AVANTGARDE (W213),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2019,2021-02
1207,21_02_1207,Private Car,MINI,MINI COOPER S COUNTRYMAN AUTOMATIC (F60),Petrol,1998,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
1208,21_02_1208,Private Car,B.M.W.,X5 XDRIVE40IA 7-SEATER XLINE (G05),Petrol,2998,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020,2021-02
1209,21_02_1209,Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,7,"> 150,000 and <= 300,000",2020,2021-02
1210,21_02_1210,Private Car,MERCEDES BENZ,C200 FL(W205),Petrol,1497,SALOON,A,-,4,"> 150,000 and <= 300,000",2020,2021-02
