,Index By Date,Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder Capacity Of Engine (c.c.),Body Type,First Registration Vehicle Status,Permitted Gross Vehicle Weight ,Number Of Passenger Seats ,Taxable Value (HK$),Year Of Manufacture,Unnamed: 11,Date Of Registration
2532,20_07_2532,Private Car,JEEP,WRANGLER UNLIMITED SAHARA,Petrol,3604,CONVERTIBLE,C2,-,4,"> 150,000 and <= 300,000",2012.0,,2020-07
2533,20_07_2533,Private Car,TOYOTA,PRIUS HYBRID,Petrol,1797,SALOON,C2,-,4,"<= 150,000",2016.0,,2020-07
2534,20_07_2534,Private Car,HONDA,FREED G AERO,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2011.0,,2020-07
2535,20_07_2535,Private Car,B.M.W.,X5 XDRIVE40IA 7-SEATER (G05),Petrol,2998,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2019.0,,2020-07
2536,20_07_2536,Private Car,ROVER,MINI COOPER,Petrol,1271,SALOON,C2,-,3,"<= 150,000",1996.0,,2020-07
2537,20_07_2537,Private Car,MERCEDES BENZ,GLC300 4MATIC FACELIFT (X253),Petrol,1991,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020.0,,2020-07
2538,20_07_2538,Private Car,HONDA,JAZZ,Petrol,1496,STATION WAGGON,A,-,4,"<= 150,000",2020.0,,2020-07
2539,20_07_2539,Private Car,MERCEDES BENZ,CLA250 COUPE (C118),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020.0,,2020-07
2540,20_07_2540,Private Car,TOYOTA,VELLFIRE,Petrol,2494,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020.0,,2020-07
2541,20_07_2541,Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020.0,,2020-07
2542,20_07_2542,Private Car,HONDA,CIVIC R,Petrol,1998,SALOON,C2,-,3,"> 150,000 and <= 300,000",2010.0,,2020-07
2543,20_07_2543,Private Car,HONDA,FREED,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020.0,,2020-07
